caminho_imagem,classe
PKLot\PKLotSegmented\PUC\Cloudy\2012-11-08\Empty\2012-11-08_15_30_50#010.jpg,Empty
PKLot\PKLotSegmented\PUC\Cloudy\2012-11-11\Empty\2012-11-11_11_18_59#054.jpg,Empty
PKLot\PKLotSegmented\PUC\Cloudy\2012-11-08\Empty\2012-11-08_18_00_57#040.jpg,Empty
PKLot\PKLotSegmented\PUC\Cloudy\2012-11-11\Empty\2012-11-11_07_43_49#044.jpg,Empty
PKLot\PKLotSegmented\PUC\Cloudy\2012-11-08\Empty\2012-11-08_16_30_53#037.jpg,Empty
PKLot\PKLotSegmented\PUC\Cloudy\2012-11-11\Empty\2012-11-11_06_53_47#070.jpg,Empty
PKLot\PKLotSegmented\PUC\Cloudy\2012-11-08\Empty\2012-11-08_12_45_42#032.jpg,Empty
PKLot\PKLotSegmented\PUC\Cloudy\2012-11-11\Empty\2012-11-11_11_08_59#022.jpg,Empty
PKLot\PKLotSegmented\PUC\Cloudy\2012-11-08\Empty\2012-11-08_11_55_40#088.jpg,Empty
PKLot\PKLotSegmented\PUC\Cloudy\2012-11-11\Empty\2012-11-11_09_43_55#029.jpg,Empty
PKLot\PKLotSegmented\PUC\Cloudy\2012-11-08\Empty\2012-11-08_06_50_25#066.jpg,Empty
PKLot\PKLotSegmented\PUC\Cloudy\2012-11-11\Empty\2012-11-11_10_38_57#063.jpg,Empty
PKLot\PKLotSegmented\PUC\Cloudy\2012-11-08\Empty\2012-11-08_13_05_43#032.jpg,Empty
PKLot\PKLotSegmented\PUC\Cloudy\2012-11-11\Empty\2012-11-11_11_13_59#065.jpg,Empty
PKLot\PKLotSegmented\PUC\Cloudy\2012-11-08\Empty\2012-11-08_12_40_42#090.jpg,Empty
PKLot\PKLotSegmented\PUC\Cloudy\2012-11-11\Empty\2012-11-11_07_43_49#014.jpg,Empty
PKLot\PKLotSegmented\PUC\Cloudy\2012-11-08\Empty\2012-11-08_07_25_27#094.jpg,Empty
PKLot\PKLotSegmented\PUC\Cloudy\2012-11-11\Empty\2012-11-11_08_13_51#015.jpg,Empty
PKLot\PKLotSegmented\PUC\Cloudy\2012-11-08\Empty\2012-11-08_18_05_57#010.jpg,Empty
PKLot\PKLotSegmented\PUC\Cloudy\2012-11-11\Empty\2012-11-11_07_23_48#074.jpg,Empty
PKLot\PKLotSegmented\PUC\Cloudy\2012-11-08\Empty\2012-11-08_12_10_41#095.jpg,Empty
PKLot\PKLotSegmented\PUC\Cloudy\2012-11-11\Empty\2012-11-11_08_58_53#051.jpg,Empty
PKLot\PKLotSegmented\PUC\Cloudy\2012-11-08\Empty\2012-11-08_18_10_58#096.jpg,Empty
PKLot\PKLotSegmented\PUC\Cloudy\2012-11-11\Empty\2012-11-11_06_53_47#061.jpg,Empty
PKLot\PKLotSegmented\PUC\Cloudy\2012-11-08\Empty\2012-11-08_15_15_49#025.jpg,Empty
PKLot\PKLotSegmented\PUC\Cloudy\2012-11-11\Empty\2012-11-11_07_43_49#081.jpg,Empty
PKLot\PKLotSegmented\PUC\Cloudy\2012-11-08\Empty\2012-11-08_10_55_37#092.jpg,Empty
PKLot\PKLotSegmented\PUC\Cloudy\2012-11-11\Empty\2012-11-11_12_19_01#033.jpg,Empty
PKLot\PKLotSegmented\PUC\Cloudy\2012-11-08\Empty\2012-11-08_14_00_46#059.jpg,Empty
PKLot\PKLotSegmented\PUC\Cloudy\2012-11-11\Empty\2012-11-11_08_38_52#007.jpg,Empty
PKLot\PKLotSegmented\PUC\Cloudy\2012-11-08\Empty\2012-11-08_13_05_43#045.jpg,Empty
PKLot\PKLotSegmented\PUC\Cloudy\2012-11-11\Empty\2012-11-11_12_09_01#003.jpg,Empty
PKLot\PKLotSegmented\PUC\Cloudy\2012-11-08\Empty\2012-11-08_16_25_53#090.jpg,Empty
PKLot\PKLotSegmented\PUC\Cloudy\2012-11-11\Empty\2012-11-11_08_33_52#024.jpg,Empty
PKLot\PKLotSegmented\PUC\Cloudy\2012-11-08\Empty\2012-11-08_12_25_41#009.jpg,Empty
PKLot\PKLotSegmented\PUC\Cloudy\2012-11-11\Empty\2012-11-11_07_38_49#086.jpg,Empty
PKLot\PKLotSegmented\PUC\Cloudy\2012-11-08\Empty\2012-11-08_13_40_45#027.jpg,Empty
PKLot\PKLotSegmented\PUC\Cloudy\2012-11-11\Empty\2012-11-11_06_23_46#042.jpg,Empty
PKLot\PKLotSegmented\PUC\Cloudy\2012-11-08\Empty\2012-11-08_07_15_27#044.jpg,Empty
PKLot\PKLotSegmented\PUC\Cloudy\2012-11-11\Empty\2012-11-11_06_58_47#038.jpg,Empty
PKLot\PKLotSegmented\PUC\Cloudy\2012-11-08\Empty\2012-11-08_12_45_42#070.jpg,Empty
PKLot\PKLotSegmented\PUC\Cloudy\2012-11-11\Empty\2012-11-11_10_18_56#016.jpg,Empty
PKLot\PKLotSegmented\PUC\Cloudy\2012-11-08\Empty\2012-11-08_06_25_24#012.jpg,Empty
PKLot\PKLotSegmented\PUC\Cloudy\2012-11-11\Empty\2012-11-11_11_13_59#013.jpg,Empty
PKLot\PKLotSegmented\PUC\Cloudy\2012-11-08\Empty\2012-11-08_08_00_29#097.jpg,Empty
PKLot\PKLotSegmented\PUC\Cloudy\2012-11-11\Empty\2012-11-11_07_33_49#098.jpg,Empty
PKLot\PKLotSegmented\PUC\Cloudy\2012-11-08\Empty\2012-11-08_15_35_50#001.jpg,Empty
PKLot\PKLotSegmented\PUC\Cloudy\2012-11-11\Empty\2012-11-11_11_18_59#044.jpg,Empty
PKLot\PKLotSegmented\PUC\Cloudy\2012-11-08\Empty\2012-11-08_13_40_45#086.jpg,Empty
PKLot\PKLotSegmented\PUC\Cloudy\2012-11-11\Empty\2012-11-11_10_03_56#092.jpg,Empty
PKLot\PKLotSegmented\PUC\Cloudy\2012-11-08\Empty\2012-11-08_07_10_26#089.jpg,Empty
PKLot\PKLotSegmented\PUC\Cloudy\2012-11-11\Empty\2012-11-11_11_33_59#045.jpg,Empty
PKLot\PKLotSegmented\PUC\Cloudy\2012-11-08\Empty\2012-11-08_16_40_53#097.jpg,Empty
PKLot\PKLotSegmented\PUC\Cloudy\2012-11-11\Empty\2012-11-11_09_48_55#089.jpg,Empty
PKLot\PKLotSegmented\PUC\Cloudy\2012-11-08\Empty\2012-11-08_15_20_50#001.jpg,Empty
PKLot\PKLotSegmented\PUC\Cloudy\2012-11-11\Empty\2012-11-11_09_28_54#006.jpg,Empty
PKLot\PKLotSegmented\PUC\Cloudy\2012-11-08\Empty\2012-11-08_07_35_28#021.jpg,Empty
PKLot\PKLotSegmented\PUC\Cloudy\2012-11-11\Empty\2012-11-11_06_48_47#022.jpg,Empty
PKLot\PKLotSegmented\PUC\Cloudy\2012-11-08\Empty\2012-11-08_07_30_27#023.jpg,Empty
PKLot\PKLotSegmented\PUC\Cloudy\2012-11-11\Empty\2012-11-11_07_03_48#009.jpg,Empty
PKLot\PKLotSegmented\PUC\Cloudy\2012-11-08\Empty\2012-11-08_06_30_25#039.jpg,Empty
PKLot\PKLotSegmented\PUC\Cloudy\2012-11-11\Empty\2012-11-11_12_34_02#033.jpg,Empty
PKLot\PKLotSegmented\PUC\Cloudy\2012-11-08\Empty\2012-11-08_13_40_45#065.jpg,Empty
