caminho_imagem,classe
PKLot\PKLotSegmented\PUC\Cloudy\2012-09-12\Empty\2012-09-12_06_05_16#006.jpg,Empty
PKLot\PKLotSegmented\PUC\Cloudy\2012-09-28\Empty\2012-09-28_07_36_01#065.jpg,Empty
PKLot\PKLotSegmented\PUC\Cloudy\2012-10-05\Empty\2012-10-05_08_27_49#097.jpg,Empty
PKLot\PKLotSegmented\PUC\Cloudy\2012-10-12\Empty\2012-10-12_05_57_29#005.jpg,Empty
PKLot\PKLotSegmented\PUC\Cloudy\2012-10-13\Empty\2012-10-13_18_24_04#055.jpg,Empty
PKLot\PKLotSegmented\PUC\Cloudy\2012-09-12\Empty\2012-09-12_06_26_11#068.jpg,Empty
PKLot\PKLotSegmented\PUC\Cloudy\2012-09-28\Empty\2012-09-28_08_41_04#093.jpg,Empty
PKLot\PKLotSegmented\PUC\Cloudy\2012-10-05\Empty\2012-10-05_08_32_49#089.jpg,Empty
PKLot\PKLotSegmented\PUC\Cloudy\2012-10-12\Empty\2012-10-12_06_37_31#072.jpg,Empty
PKLot\PKLotSegmented\PUC\Cloudy\2012-10-13\Empty\2012-10-13_11_58_48#021.jpg,Empty
PKLot\PKLotSegmented\PUC\Cloudy\2012-09-12\Empty\2012-09-12_07_39_15#084.jpg,Empty
PKLot\PKLotSegmented\PUC\Cloudy\2012-09-28\Empty\2012-09-28_07_46_02#099.jpg,Empty
PKLot\PKLotSegmented\PUC\Cloudy\2012-10-05\Empty\2012-10-05_08_22_49#095.jpg,Empty
PKLot\PKLotSegmented\PUC\Cloudy\2012-10-12\Empty\2012-10-12_13_42_49#003.jpg,Empty
PKLot\PKLotSegmented\PUC\Cloudy\2012-10-13\Empty\2012-10-13_07_48_38#049.jpg,Empty
PKLot\PKLotSegmented\PUC\Cloudy\2012-09-12\Empty\2012-09-12_07_44_29#095.jpg,Empty
PKLot\PKLotSegmented\PUC\Cloudy\2012-09-28\Empty\2012-09-28_17_16_28#007.jpg,Empty
PKLot\PKLotSegmented\PUC\Cloudy\2012-10-05\Empty\2012-10-05_09_02_51#095.jpg,Empty
PKLot\PKLotSegmented\PUC\Cloudy\2012-10-12\Empty\2012-10-12_07_07_32#013.jpg,Empty
PKLot\PKLotSegmented\PUC\Cloudy\2012-10-13\Empty\2012-10-13_06_38_35#099.jpg,Empty
PKLot\PKLotSegmented\PUC\Cloudy\2012-09-12\Empty\2012-09-12_06_26_11#002.jpg,Empty
PKLot\PKLotSegmented\PUC\Cloudy\2012-09-28\Empty\2012-09-28_12_36_15#033.jpg,Empty
PKLot\PKLotSegmented\PUC\Cloudy\2012-10-05\Empty\2012-10-05_08_47_50#096.jpg,Empty
PKLot\PKLotSegmented\PUC\Cloudy\2012-10-12\Empty\2012-10-12_13_37_49#004.jpg,Empty
PKLot\PKLotSegmented\PUC\Cloudy\2012-10-13\Empty\2012-10-13_17_04_01#099.jpg,Empty
PKLot\PKLotSegmented\PUC\Cloudy\2012-09-12\Empty\2012-09-12_07_28_48#024.jpg,Empty
PKLot\PKLotSegmented\PUC\Cloudy\2012-09-28\Empty\2012-09-28_14_56_21#002.jpg,Empty
PKLot\PKLotSegmented\PUC\Cloudy\2012-10-05\Empty\2012-10-05_08_47_50#097.jpg,Empty
PKLot\PKLotSegmented\PUC\Cloudy\2012-10-12\Empty\2012-10-12_17_22_59#031.jpg,Empty
PKLot\PKLotSegmented\PUC\Cloudy\2012-10-13\Empty\2012-10-13_13_53_53#043.jpg,Empty
PKLot\PKLotSegmented\PUC\Cloudy\2012-09-12\Empty\2012-09-12_08_36_50#097.jpg,Empty
PKLot\PKLotSegmented\PUC\Cloudy\2012-09-28\Empty\2012-09-28_13_36_18#004.jpg,Empty
PKLot\PKLotSegmented\PUC\Cloudy\2012-10-05\Empty\2012-10-05_08_47_50#093.jpg,Empty
PKLot\PKLotSegmented\PUC\Cloudy\2012-10-12\Empty\2012-10-12_13_52_50#019.jpg,Empty
PKLot\PKLotSegmented\PUC\Cloudy\2012-10-13\Empty\2012-10-13_18_24_04#050.jpg,Empty
PKLot\PKLotSegmented\PUC\Cloudy\2012-09-12\Empty\2012-09-12_06_31_24#020.jpg,Empty
PKLot\PKLotSegmented\PUC\Cloudy\2012-09-28\Empty\2012-09-28_16_06_25#040.jpg,Empty
PKLot\PKLotSegmented\PUC\Cloudy\2012-10-05\Empty\2012-10-05_09_02_51#096.jpg,Empty
PKLot\PKLotSegmented\PUC\Cloudy\2012-10-12\Empty\2012-10-12_06_37_31#074.jpg,Empty
PKLot\PKLotSegmented\PUC\Cloudy\2012-10-13\Empty\2012-10-13_12_53_50#028.jpg,Empty
PKLot\PKLotSegmented\PUC\Cloudy\2012-09-12\Empty\2012-09-12_09_18_46#096.jpg,Empty
PKLot\PKLotSegmented\PUC\Cloudy\2012-09-28\Empty\2012-09-28_18_11_31#028.jpg,Empty
PKLot\PKLotSegmented\PUC\Cloudy\2012-10-05\Empty\2012-10-05_08_57_51#097.jpg,Empty
PKLot\PKLotSegmented\PUC\Cloudy\2012-10-12\Empty\2012-10-12_08_02_35#090.jpg,Empty
PKLot\PKLotSegmented\PUC\Cloudy\2012-10-13\Empty\2012-10-13_14_58_56#048.jpg,Empty
PKLot\PKLotSegmented\PUC\Cloudy\2012-09-12\Empty\2012-09-12_06_41_49#015.jpg,Empty
PKLot\PKLotSegmented\PUC\Cloudy\2012-09-28\Empty\2012-09-28_11_16_12#033.jpg,Empty
PKLot\PKLotSegmented\PUC\Cloudy\2012-10-05\Empty\2012-10-05_09_02_51#098.jpg,Empty
PKLot\PKLotSegmented\PUC\Cloudy\2012-10-12\Empty\2012-10-12_14_47_52#034.jpg,Empty
PKLot\PKLotSegmented\PUC\Cloudy\2012-10-13\Empty\2012-10-13_13_33_52#029.jpg,Empty
PKLot\PKLotSegmented\PUC\Cloudy\2012-09-12\Empty\2012-09-12_06_20_57#063.jpg,Empty
PKLot\PKLotSegmented\PUC\Cloudy\2012-09-28\Empty\2012-09-28_17_56_30#032.jpg,Empty
PKLot\PKLotSegmented\PUC\Cloudy\2012-10-05\Empty\2012-10-05_08_57_51#092.jpg,Empty
PKLot\PKLotSegmented\PUC\Cloudy\2012-10-12\Empty\2012-10-12_08_52_37#068.jpg,Empty
PKLot\PKLotSegmented\PUC\Cloudy\2012-10-13\Empty\2012-10-13_09_48_43#024.jpg,Empty
