Base do Autoencoder,Base de Treino,Base de Teste,Média,Batch
CNR,PUC,UFPR04,0.804 ~ 0.048,64
CNR,PUC,UFPR04,0.842 ~ 0.053,128
CNR,PUC,UFPR04,0.850 ~ 0.043,256
CNR,PUC,UFPR04,0.874 ~ 0.044,512
CNR,PUC,UFPR04,0.857 ~ 0.055,1024
CNR,PUC,PUC,0.923 ~ 0.016,64
CNR,PUC,PUC,0.951 ~ 0.018,128
CNR,PUC,PUC,0.955 ~ 0.019,256
CNR,PUC,PUC,0.966 ~ 0.015,512
CNR,PUC,PUC,0.970 ~ 0.013,1024
CNR,PUC,UFPR05,0.681 ~ 0.037,64
CNR,PUC,UFPR05,0.755 ~ 0.038,128
CNR,PUC,UFPR05,0.785 ~ 0.049,256
CNR,PUC,UFPR05,0.809 ~ 0.047,512
CNR,PUC,UFPR05,0.815 ~ 0.044,1024
CNR,UFPR04,UFPR04,0.885 ~ 0.036,64
CNR,UFPR04,UFPR04,0.925 ~ 0.027,128
CNR,UFPR04,UFPR04,0.918 ~ 0.036,256
CNR,UFPR04,UFPR04,0.936 ~ 0.028,512
CNR,UFPR04,UFPR04,0.952 ~ 0.019,1024
CNR,UFPR04,PUC,0.804 ~ 0.058,64
CNR,UFPR04,PUC,0.835 ~ 0.068,128
CNR,UFPR04,PUC,0.877 ~ 0.068,256
CNR,UFPR04,PUC,0.869 ~ 0.075,512
CNR,UFPR04,PUC,0.884 ~ 0.067,1024
CNR,UFPR04,UFPR05,0.651 ~ 0.062,64
CNR,UFPR04,UFPR05,0.724 ~ 0.075,128
CNR,UFPR04,UFPR05,0.769 ~ 0.107,256
CNR,UFPR04,UFPR05,0.789 ~ 0.110,512
CNR,UFPR04,UFPR05,0.839 ~ 0.091,1024
CNR,UFPR05,UFPR05,0.906 ~ 0.041,64
CNR,UFPR05,UFPR05,0.955 ~ 0.013,128
CNR,UFPR05,UFPR05,0.935 ~ 0.030,256
CNR,UFPR05,UFPR05,0.961 ~ 0.009,512
CNR,UFPR05,UFPR05,0.966 ~ 0.009,1024
CNR,UFPR05,PUC,0.657 ~ 0.055,64
CNR,UFPR05,PUC,0.691 ~ 0.057,128
CNR,UFPR05,PUC,0.739 ~ 0.048,256
CNR,UFPR05,PUC,0.701 ~ 0.057,512
CNR,UFPR05,PUC,0.727 ~ 0.061,1024
CNR,UFPR05,UFPR04,0.656 ~ 0.132,64
CNR,UFPR05,UFPR04,0.704 ~ 0.116,128
CNR,UFPR05,UFPR04,0.736 ~ 0.112,256
CNR,UFPR05,UFPR04,0.773 ~ 0.109,512
CNR,UFPR05,UFPR04,0.806 ~ 0.079,1024
