Base do Autoencoder,Base de Treino,Base de Teste,Acuracia,Batch
CNR,PUC,PUC,0.939,64
CNR,PUC,PUC,0.963,128
CNR,PUC,PUC,0.974,256
CNR,PUC,PUC,0.980,512
CNR,PUC,PUC,0.985,1024
CNR,PUC,UFPR04,0.831,64
CNR,PUC,UFPR04,0.876,128
CNR,PUC,UFPR04,0.894,256
CNR,PUC,UFPR04,0.900,512
CNR,PUC,UFPR04,0.908,1024
CNR,PUC,UFPR05,0.701,64
CNR,PUC,UFPR05,0.786,128
CNR,PUC,UFPR05,0.832,256
CNR,PUC,UFPR05,0.841,512
CNR,PUC,UFPR05,0.851,1024
CNR,UFPR04,PUC,0.885,64
CNR,UFPR04,PUC,0.941,128
CNR,UFPR04,PUC,0.954,256
CNR,UFPR04,PUC,0.963,512
CNR,UFPR04,PUC,0.966,1024
CNR,UFPR04,UFPR04,0.915,64
CNR,UFPR04,UFPR04,0.963,128
CNR,UFPR04,UFPR04,0.952,256
CNR,UFPR04,UFPR04,0.959,512
CNR,UFPR04,UFPR04,0.972,1024
CNR,UFPR04,UFPR05,0.693,64
CNR,UFPR04,UFPR05,0.871,128
CNR,UFPR04,UFPR05,0.854,256
CNR,UFPR04,UFPR05,0.908,512
CNR,UFPR04,UFPR05,0.938,1024
CNR,UFPR05,PUC,0.764,64
CNR,UFPR05,PUC,0.793,128
CNR,UFPR05,PUC,0.829,256
CNR,UFPR05,PUC,0.762,512
CNR,UFPR05,PUC,0.767,1024
CNR,UFPR05,UFPR04,0.873,64
CNR,UFPR05,UFPR04,0.889,128
CNR,UFPR05,UFPR04,0.858,256
CNR,UFPR05,UFPR04,0.871,512
CNR,UFPR05,UFPR04,0.872,1024
CNR,UFPR05,UFPR05,0.945,64
CNR,UFPR05,UFPR05,0.977,128
CNR,UFPR05,UFPR05,0.976,256
CNR,UFPR05,UFPR05,0.978,512
CNR,UFPR05,UFPR05,0.981,1024
