Base do Autoencoder,Base de Treino,Base de Teste,Acuracia,Batch
Kyoto,PUC,PUC,0.908,64
Kyoto,PUC,PUC,0.942,128
Kyoto,PUC,PUC,0.943,256
Kyoto,PUC,PUC,0.955,512
Kyoto,PUC,PUC,0.965,1024
Kyoto,PUC,UFPR04,0.749,64
Kyoto,PUC,UFPR04,0.817,128
Kyoto,PUC,UFPR04,0.824,256
Kyoto,PUC,UFPR04,0.839,512
Kyoto,PUC,UFPR04,0.847,1024
Kyoto,PUC,UFPR05,0.679,64
Kyoto,PUC,UFPR05,0.752,128
Kyoto,PUC,UFPR05,0.769,256
Kyoto,PUC,UFPR05,0.791,512
Kyoto,PUC,UFPR05,0.798,1024
Kyoto,UFPR04,PUC,0.693,64
Kyoto,UFPR04,PUC,0.771,128
Kyoto,UFPR04,PUC,0.829,256
Kyoto,UFPR04,PUC,0.857,512
Kyoto,UFPR04,PUC,0.921,1024
Kyoto,UFPR04,UFPR04,0.877,64
Kyoto,UFPR04,UFPR04,0.919,128
Kyoto,UFPR04,UFPR04,0.888,256
Kyoto,UFPR04,UFPR04,0.916,512
Kyoto,UFPR04,UFPR04,0.931,1024
Kyoto,UFPR04,UFPR05,0.625,64
Kyoto,UFPR04,UFPR05,0.667,128
Kyoto,UFPR04,UFPR05,0.736,256
Kyoto,UFPR04,UFPR05,0.722,512
Kyoto,UFPR04,UFPR05,0.826,1024
Kyoto,UFPR05,PUC,0.609,64
Kyoto,UFPR05,PUC,0.684,128
Kyoto,UFPR05,PUC,0.700,256
Kyoto,UFPR05,PUC,0.734,512
Kyoto,UFPR05,PUC,0.758,1024
Kyoto,UFPR05,UFPR04,0.665,64
Kyoto,UFPR05,UFPR04,0.713,128
Kyoto,UFPR05,UFPR04,0.699,256
Kyoto,UFPR05,UFPR04,0.744,512
Kyoto,UFPR05,UFPR04,0.761,1024
Kyoto,UFPR05,UFPR05,0.908,64
Kyoto,UFPR05,UFPR05,0.960,128
Kyoto,UFPR05,UFPR05,0.950,256
Kyoto,UFPR05,UFPR05,0.967,512
Kyoto,UFPR05,UFPR05,0.973,1024
