Base do Autoencoder,Base de Treino,Base de Teste,Acuracia,Batch
CNR,PUC,PUC,0.938,64
CNR,PUC,PUC,0.964,128
CNR,PUC,PUC,0.970,256
CNR,PUC,PUC,0.979,512
CNR,PUC,PUC,0.985,1024
CNR,PUC,UFPR04,0.830,64
CNR,PUC,UFPR04,0.875,128
CNR,PUC,UFPR04,0.885,256
CNR,PUC,UFPR04,0.898,512
CNR,PUC,UFPR04,0.905,1024
CNR,PUC,UFPR05,0.699,64
CNR,PUC,UFPR05,0.787,128
CNR,PUC,UFPR05,0.831,256
CNR,PUC,UFPR05,0.839,512
CNR,PUC,UFPR05,0.849,1024
CNR,UFPR04,PUC,0.879,64
CNR,UFPR04,PUC,0.918,128
CNR,UFPR04,PUC,0.949,256
CNR,UFPR04,PUC,0.965,512
CNR,UFPR04,PUC,0.965,1024
CNR,UFPR04,UFPR04,0.911,64
CNR,UFPR04,UFPR04,0.961,128
CNR,UFPR04,UFPR04,0.947,256
CNR,UFPR04,UFPR04,0.959,512
CNR,UFPR04,UFPR04,0.970,1024
CNR,UFPR04,UFPR05,0.697,64
CNR,UFPR04,UFPR05,0.867,128
CNR,UFPR04,UFPR05,0.866,256
CNR,UFPR04,UFPR05,0.923,512
CNR,UFPR04,UFPR05,0.937,1024
CNR,UFPR05,PUC,0.734,64
CNR,UFPR05,PUC,0.767,128
CNR,UFPR05,PUC,0.819,256
CNR,UFPR05,PUC,0.731,512
CNR,UFPR05,PUC,0.741,1024
CNR,UFPR05,UFPR04,0.755,64
CNR,UFPR05,UFPR04,0.852,128
CNR,UFPR05,UFPR04,0.859,256
CNR,UFPR05,UFPR04,0.878,512
CNR,UFPR05,UFPR04,0.880,1024
CNR,UFPR05,UFPR05,0.941,64
CNR,UFPR05,UFPR05,0.976,128
CNR,UFPR05,UFPR05,0.973,256
CNR,UFPR05,UFPR05,0.977,512
CNR,UFPR05,UFPR05,0.980,1024
