Base do Autoencoder,Base de Treino,Base de Teste,Acuracia,Batch
Kyoto,PUC,PUC,0.908,64
Kyoto,PUC,PUC,0.942,128
Kyoto,PUC,PUC,0.942,256
Kyoto,PUC,PUC,0.955,512
Kyoto,PUC,PUC,0.965,1024
Kyoto,PUC,UFPR04,0.749,64
Kyoto,PUC,UFPR04,0.819,128
Kyoto,PUC,UFPR04,0.824,256
Kyoto,PUC,UFPR04,0.844,512
Kyoto,PUC,UFPR04,0.848,1024
Kyoto,PUC,UFPR05,0.681,64
Kyoto,PUC,UFPR05,0.749,128
Kyoto,PUC,UFPR05,0.766,256
Kyoto,PUC,UFPR05,0.793,512
Kyoto,PUC,UFPR05,0.793,1024
Kyoto,UFPR04,PUC,0.694,64
Kyoto,UFPR04,PUC,0.775,128
Kyoto,UFPR04,PUC,0.818,256
Kyoto,UFPR04,PUC,0.864,512
Kyoto,UFPR04,PUC,0.922,1024
Kyoto,UFPR04,UFPR04,0.878,64
Kyoto,UFPR04,UFPR04,0.919,128
Kyoto,UFPR04,UFPR04,0.888,256
Kyoto,UFPR04,UFPR04,0.916,512
Kyoto,UFPR04,UFPR04,0.930,1024
Kyoto,UFPR04,UFPR05,0.613,64
Kyoto,UFPR04,UFPR05,0.680,128
Kyoto,UFPR04,UFPR05,0.733,256
Kyoto,UFPR04,UFPR05,0.732,512
Kyoto,UFPR04,UFPR05,0.821,1024
Kyoto,UFPR05,PUC,0.608,64
Kyoto,UFPR05,PUC,0.687,128
Kyoto,UFPR05,PUC,0.700,256
Kyoto,UFPR05,PUC,0.732,512
Kyoto,UFPR05,PUC,0.759,1024
Kyoto,UFPR05,UFPR04,0.665,64
Kyoto,UFPR05,UFPR04,0.714,128
Kyoto,UFPR05,UFPR04,0.697,256
Kyoto,UFPR05,UFPR04,0.742,512
Kyoto,UFPR05,UFPR04,0.756,1024
Kyoto,UFPR05,UFPR05,0.908,64
Kyoto,UFPR05,UFPR05,0.960,128
Kyoto,UFPR05,UFPR05,0.950,256
Kyoto,UFPR05,UFPR05,0.967,512
Kyoto,UFPR05,UFPR05,0.972,1024
