Base de Treino,Base de Teste,Média,Batch
UFPR04,PUC,0.902 ~ 0.079,64
UFPR04,PUC,0.932 ~ 0.056,128
UFPR04,PUC,0.933 ~ 0.040,256
UFPR04,PUC,0.930 ~ 0.035,512
UFPR04,PUC,0.927 ~ 0.029,1024
UFPR04,UFPR04,0.810 ~ 0.060,64
UFPR04,UFPR04,0.921 ~ 0.027,128
UFPR04,UFPR04,0.942 ~ 0.019,256
UFPR04,UFPR04,0.955 ~ 0.014,512
UFPR04,UFPR04,0.964 ~ 0.010,1024
UFPR04,UFPR05,0.771 ~ 0.040,64
UFPR04,UFPR05,0.821 ~ 0.039,128
UFPR04,UFPR05,0.795 ~ 0.044,256
UFPR04,UFPR05,0.791 ~ 0.044,512
UFPR04,UFPR05,0.795 ~ 0.049,1024
UFPR04,camera1,0.848 ~ 0.054,64
UFPR04,camera1,0.867 ~ 0.061,128
UFPR04,camera1,0.878 ~ 0.035,256
UFPR04,camera1,0.888 ~ 0.020,512
UFPR04,camera1,0.884 ~ 0.025,1024
UFPR04,camera2,0.878 ~ 0.038,64
UFPR04,camera2,0.881 ~ 0.045,128
UFPR04,camera2,0.884 ~ 0.023,256
UFPR04,camera2,0.887 ~ 0.034,512
UFPR04,camera2,0.891 ~ 0.030,1024
UFPR04,camera3,0.863 ~ 0.027,64
UFPR04,camera3,0.885 ~ 0.025,128
UFPR04,camera3,0.893 ~ 0.017,256
UFPR04,camera3,0.896 ~ 0.033,512
UFPR04,camera3,0.903 ~ 0.029,1024
UFPR04,camera4,0.896 ~ 0.065,64
UFPR04,camera4,0.888 ~ 0.069,128
UFPR04,camera4,0.888 ~ 0.028,256
UFPR04,camera4,0.903 ~ 0.022,512
UFPR04,camera4,0.898 ~ 0.021,1024
UFPR04,camera5,0.891 ~ 0.058,64
UFPR04,camera5,0.887 ~ 0.061,128
UFPR04,camera5,0.890 ~ 0.020,256
UFPR04,camera5,0.903 ~ 0.014,512
UFPR04,camera5,0.897 ~ 0.016,1024
UFPR04,camera6,0.900 ~ 0.029,64
UFPR04,camera6,0.903 ~ 0.029,128
UFPR04,camera6,0.898 ~ 0.024,256
UFPR04,camera6,0.903 ~ 0.028,512
UFPR04,camera6,0.902 ~ 0.027,1024
UFPR04,camera7,0.868 ~ 0.039,64
UFPR04,camera7,0.858 ~ 0.046,128
UFPR04,camera7,0.866 ~ 0.017,256
UFPR04,camera7,0.874 ~ 0.017,512
UFPR04,camera7,0.874 ~ 0.019,1024
UFPR04,camera8,0.896 ~ 0.034,64
UFPR04,camera8,0.901 ~ 0.037,128
UFPR04,camera8,0.901 ~ 0.013,256
UFPR04,camera8,0.909 ~ 0.017,512
UFPR04,camera8,0.907 ~ 0.016,1024
UFPR04,camera9,0.843 ~ 0.044,64
UFPR04,camera9,0.837 ~ 0.048,128
UFPR04,camera9,0.833 ~ 0.025,256
UFPR04,camera9,0.853 ~ 0.032,512
UFPR04,camera9,0.852 ~ 0.031,1024
