Base do Autoencoder,Base de Treino,Base de Teste,Acuracia,Batch
Kyoto,PUC,PUC,0.905,64
Kyoto,PUC,PUC,0.943,128
Kyoto,PUC,PUC,0.942,256
Kyoto,PUC,PUC,0.956,512
Kyoto,PUC,PUC,0.963,1024
Kyoto,PUC,UFPR04,0.754,64
Kyoto,PUC,UFPR04,0.828,128
Kyoto,PUC,UFPR04,0.829,256
Kyoto,PUC,UFPR04,0.849,512
Kyoto,PUC,UFPR04,0.848,1024
Kyoto,PUC,UFPR05,0.670,64
Kyoto,PUC,UFPR05,0.746,128
Kyoto,PUC,UFPR05,0.757,256
Kyoto,PUC,UFPR05,0.786,512
Kyoto,PUC,UFPR05,0.773,1024
Kyoto,UFPR04,PUC,0.681,64
Kyoto,UFPR04,PUC,0.772,128
Kyoto,UFPR04,PUC,0.803,256
Kyoto,UFPR04,PUC,0.859,512
Kyoto,UFPR04,PUC,0.901,1024
Kyoto,UFPR04,UFPR04,0.874,64
Kyoto,UFPR04,UFPR04,0.916,128
Kyoto,UFPR04,UFPR04,0.887,256
Kyoto,UFPR04,UFPR04,0.917,512
Kyoto,UFPR04,UFPR04,0.928,1024
Kyoto,UFPR04,UFPR05,0.622,64
Kyoto,UFPR04,UFPR05,0.689,128
Kyoto,UFPR04,UFPR05,0.660,256
Kyoto,UFPR04,UFPR05,0.743,512
Kyoto,UFPR04,UFPR05,0.791,1024
Kyoto,UFPR05,PUC,0.614,64
Kyoto,UFPR05,PUC,0.697,128
Kyoto,UFPR05,PUC,0.710,256
Kyoto,UFPR05,PUC,0.734,512
Kyoto,UFPR05,PUC,0.765,1024
Kyoto,UFPR05,UFPR04,0.672,64
Kyoto,UFPR05,UFPR04,0.737,128
Kyoto,UFPR05,UFPR04,0.706,256
Kyoto,UFPR05,UFPR04,0.744,512
Kyoto,UFPR05,UFPR04,0.764,1024
Kyoto,UFPR05,UFPR05,0.912,64
Kyoto,UFPR05,UFPR05,0.962,128
Kyoto,UFPR05,UFPR05,0.952,256
Kyoto,UFPR05,UFPR05,0.967,512
Kyoto,UFPR05,UFPR05,0.972,1024
