Base de Treino,Base de Teste,Média,Batch
PUC,PUC,0.829 ~ 0.051,64
PUC,PUC,0.895 ~ 0.045,128
PUC,PUC,0.939 ~ 0.044,256
PUC,PUC,0.935 ~ 0.086,512
PUC,PUC,0.925 ~ 0.109,1024
PUC,UFPR04,0.590 ~ 0.104,64
PUC,UFPR04,0.743 ~ 0.073,128
PUC,UFPR04,0.813 ~ 0.090,256
PUC,UFPR04,0.823 ~ 0.101,512
PUC,UFPR04,0.815 ~ 0.115,1024
PUC,UFPR05,0.647 ~ 0.077,64
PUC,UFPR05,0.666 ~ 0.094,128
PUC,UFPR05,0.756 ~ 0.089,256
PUC,UFPR05,0.759 ~ 0.098,512
PUC,UFPR05,0.743 ~ 0.092,1024
PUC,camera1,0.782 ~ 0.038,64
PUC,camera1,0.799 ~ 0.060,128
PUC,camera1,0.850 ~ 0.055,256
PUC,camera1,0.849 ~ 0.089,512
PUC,camera1,0.839 ~ 0.115,1024
PUC,camera2,0.770 ~ 0.057,64
PUC,camera2,0.796 ~ 0.082,128
PUC,camera2,0.851 ~ 0.082,256
PUC,camera2,0.834 ~ 0.119,512
PUC,camera2,0.831 ~ 0.139,1024
PUC,camera3,0.817 ~ 0.024,64
PUC,camera3,0.840 ~ 0.031,128
PUC,camera3,0.866 ~ 0.035,256
PUC,camera3,0.847 ~ 0.058,512
PUC,camera3,0.842 ~ 0.078,1024
PUC,camera4,0.823 ~ 0.036,64
PUC,camera4,0.862 ~ 0.037,128
PUC,camera4,0.905 ~ 0.027,256
PUC,camera4,0.891 ~ 0.058,512
PUC,camera4,0.877 ~ 0.078,1024
PUC,camera5,0.811 ~ 0.041,64
PUC,camera5,0.848 ~ 0.044,128
PUC,camera5,0.896 ~ 0.039,256
PUC,camera5,0.881 ~ 0.074,512
PUC,camera5,0.865 ~ 0.094,1024
PUC,camera6,0.838 ~ 0.037,64
PUC,camera6,0.866 ~ 0.040,128
PUC,camera6,0.899 ~ 0.038,256
PUC,camera6,0.882 ~ 0.065,512
PUC,camera6,0.871 ~ 0.080,1024
PUC,camera7,0.792 ~ 0.044,64
PUC,camera7,0.808 ~ 0.052,128
PUC,camera7,0.842 ~ 0.056,256
PUC,camera7,0.836 ~ 0.083,512
PUC,camera7,0.825 ~ 0.099,1024
PUC,camera8,0.841 ~ 0.030,64
PUC,camera8,0.866 ~ 0.035,128
PUC,camera8,0.896 ~ 0.036,256
PUC,camera8,0.882 ~ 0.056,512
PUC,camera8,0.870 ~ 0.074,1024
PUC,camera9,0.779 ~ 0.047,64
PUC,camera9,0.796 ~ 0.069,128
PUC,camera9,0.834 ~ 0.066,256
PUC,camera9,0.818 ~ 0.094,512
PUC,camera9,0.808 ~ 0.115,1024
