Base de Treino,Base de Teste,Média,Batch
UFPR05,PUC,0.603 ~ 0.107,64
UFPR05,PUC,0.741 ~ 0.094,128
UFPR05,PUC,0.794 ~ 0.132,256
UFPR05,PUC,0.801 ~ 0.128,512
UFPR05,PUC,0.809 ~ 0.124,1024
UFPR05,UFPR04,0.490 ~ 0.092,64
UFPR05,UFPR04,0.651 ~ 0.141,128
UFPR05,UFPR04,0.761 ~ 0.117,256
UFPR05,UFPR04,0.777 ~ 0.124,512
UFPR05,UFPR04,0.822 ~ 0.129,1024
UFPR05,UFPR05,0.719 ~ 0.071,64
UFPR05,UFPR05,0.815 ~ 0.062,128
UFPR05,UFPR05,0.894 ~ 0.099,256
UFPR05,UFPR05,0.908 ~ 0.115,512
UFPR05,UFPR05,0.907 ~ 0.131,1024
UFPR05,camera1,0.708 ~ 0.106,64
UFPR05,camera1,0.656 ~ 0.106,128
UFPR05,camera1,0.683 ~ 0.132,256
UFPR05,camera1,0.686 ~ 0.129,512
UFPR05,camera1,0.694 ~ 0.133,1024
UFPR05,camera2,0.694 ~ 0.120,64
UFPR05,camera2,0.666 ~ 0.123,128
UFPR05,camera2,0.719 ~ 0.167,256
UFPR05,camera2,0.730 ~ 0.156,512
UFPR05,camera2,0.736 ~ 0.161,1024
UFPR05,camera3,0.719 ~ 0.102,64
UFPR05,camera3,0.726 ~ 0.123,128
UFPR05,camera3,0.787 ~ 0.160,256
UFPR05,camera3,0.790 ~ 0.149,512
UFPR05,camera3,0.790 ~ 0.157,1024
UFPR05,camera4,0.688 ~ 0.096,64
UFPR05,camera4,0.669 ~ 0.105,128
UFPR05,camera4,0.755 ~ 0.152,256
UFPR05,camera4,0.760 ~ 0.140,512
UFPR05,camera4,0.759 ~ 0.146,1024
UFPR05,camera5,0.693 ~ 0.090,64
UFPR05,camera5,0.669 ~ 0.102,128
UFPR05,camera5,0.744 ~ 0.145,256
UFPR05,camera5,0.746 ~ 0.134,512
UFPR05,camera5,0.746 ~ 0.138,1024
UFPR05,camera6,0.748 ~ 0.099,64
UFPR05,camera6,0.742 ~ 0.117,128
UFPR05,camera6,0.797 ~ 0.148,256
UFPR05,camera6,0.797 ~ 0.135,512
UFPR05,camera6,0.796 ~ 0.142,1024
UFPR05,camera7,0.729 ~ 0.083,64
UFPR05,camera7,0.697 ~ 0.091,128
UFPR05,camera7,0.716 ~ 0.111,256
UFPR05,camera7,0.717 ~ 0.105,512
UFPR05,camera7,0.723 ~ 0.109,1024
UFPR05,camera8,0.748 ~ 0.101,64
UFPR05,camera8,0.736 ~ 0.114,128
UFPR05,camera8,0.792 ~ 0.149,256
UFPR05,camera8,0.792 ~ 0.138,512
UFPR05,camera8,0.791 ~ 0.145,1024
UFPR05,camera9,0.716 ~ 0.103,64
UFPR05,camera9,0.680 ~ 0.109,128
UFPR05,camera9,0.695 ~ 0.132,256
UFPR05,camera9,0.688 ~ 0.126,512
UFPR05,camera9,0.691 ~ 0.136,1024
